항목,제목,세부인정사항
일반사항,2가지 이상의 수술시 수기료 산정방법,"1. 동일 절개 하에서 2가지 이상 수술을 동시에 시술한 경우 주된 수술이란 2가지 이상 수술 중 소정점수가 높은 수술을 기준으로 함. 이 경우 ‘소정점수’이란 ｢건강보험 행위 급여·비급여 목록표 및 급여 상 대가치점수｣ 제1편 제2부 제9장 제1절 처치 및 수술료 등의 각 분류항목에 기재된 소정점수을 말함. 2. 동일 피부 절개하에 해당과를 달리하여 각각 다른 병변을 수술한 경우, 진료전문과목이 다르더 라도 동일 마취하에 연속하여 수술을 하는 것이므로 ｢건강보험 행위 급여·비급여 목록표 및 급여 상대 가치점수｣ 제1편 제2부 제9장 제1절 처치 및 수술료 등[산정지침] (5)항에 의거 주된 수술 100%, 그외 수술 50%[종합병원(상급종합병원 포함)은 70%]를 산정함. (고시 제2018-281호, ’19.1.1. 시행)"
일반사항,동일 피부 절개 하에 2가지 이상 수술시 수가 산정방법,"건강보험 행위 급여·비급여 목록표 및 급여 상대 가치점수 제1편 제2부 제9장 처치 및 수술료 등 [산정 지침] (5)항에 의거 종합병원(상급종합병원 포함)의 경우 동일 피부 절개하에 2가지 이상 수술을 동시에 시술한 경우 제2의 수술부터는 해당 수술 소정점수의 70%를 산정토록 되어 있음. 이 때, 2가지 이상 수술이란 서로 다른 수술로 별도 소정점수의 산정이 가능한 경우를 의미함. (고시 제2016-204호, ’16.11.1. 시행)"
일반사항,동일 피부 절개 하 동일 수술을 여러 부위에 하는 경우 수가 산정방법,"동일 피부 절개(또는 동일 경로) 하 동일 수술을 여러 부위에 하는 경우는 ｢건강보험 행위 급여·비급여 목록표 및 급여 상대가치점수｣ 제1편 제2부 제9장 처치및수술료 [산정지침] (5)에 적용되지 않는 사항으로, 제1 부위는 100%, 제2부위부터는 50% 산정을 원칙으로 함. 다만, 최대산정범위 및 산정방법에 대해 별도 고시가 있는 경우에는 해당 고시를 적용함 (고시 제2017-118호, ’17.7.1. 시행)"
일반사항,Arterial Cannulation의 Irrigation시 수기료 산정방법,"Arterial Cannulation의 Irrigation수기료는 해당 처치 또는 수술료에 포함하여 별도 인정하지 아니함. (고시 제2000-73호, ’01.1.1. 시행)"
자49 추간판제거술 [척추후궁 절제술포함],"동일 피부 절개 하에 추간판제거술,후방고정술 및 후방추체 유합술(PLIF)을 동시 실시시 수가 산정방법","1. 후방 도달법으로 동일 피부 절개 하에 추간판제거술, Pedicle screw와 Rod를 이용한 후방고정술(PLF)및 자가골 또는 Cage를 이용한 후방추체유합술 (PLIF)을 동시에 실시한 경우에 척추고정술은 절개 approach을 기준으로 1회만 산정함. 2. 이 경우 자49 추간판제거술과 자46나 척추후방 고정술의 소정점수를 산정하되 「건강보험 행위 급여·비급여 목록표 및 급여 상대가치점수」 제1편 제2부 제9장 제1절 처치 및 수술료 [산정지침] (5)에 의거 주된 수술 100%, 그 외 수술 50%[종합 병원(상급종합병원 포함)은 70%]를 산정함. (고시 제2021-183호, ’21.7.1. 시행)"
자49-1 척추후궁 절제술,Hemilaminectomy 또는 Total Laminectomy의 수가 산정방법,"Hemilaminectomy 또는 Total Laminectomy는 자49-1 척추후궁절제술의 해당부위의 소정점수를 산정하되 제1후궁은 소정점수의 100%, 제2후궁부터는 소정점수의 50%를 산정하되 최대 200%까지 산정함. (고시 제2023-56호, ’23.3.29. 시행)"
자60 사지골절 관혈적정복술,Trimalleolar Fracture의 관혈적정복술시 수가 산정방법,"Trimalleolar Fracture의 관혈적 정복술은 자60가 (4)(다) 사지골절정복술 [복잡골절 포함]-관혈적 -하퇴골-경비골동시 소정점수의 100%와 자60가 (4)(가) 사지골절정복술 [복잡골절 포함]-관혈적 -하퇴골-경골 소정점수 50%[종합병원(상급종합 병원 포함)의 경우 70%]를 산정함. (고시 제2023-56호, ’23.3.29. 시행)"
자60 사지골절 관혈적정복술,뼈전이암에 이차적으로 발생할 수 있는 임박병적골절(Impe nding pathologic fractures)에 실시한 자60 사지골절정복술 급여기준 및 수가 산정방법,"뼈전이암에 이차적으로 발생할 수 있는 임박병적골절 (Impending pathologic fractures)에 실시한 사지 골절정복술은 자60 사지골절정복술 소정점수의 50%를 산정하며, 다음 중 어느 하나에 해당하는 경우 요양 급여를 인정함. - 다 음 - 가. 대퇴 근위부의 2.5cm 이상의 병변이 있는 경우 나. 병변이 피질골의 50% 이상을 파괴한 경우 다. 소전자부의 병적 견열 골절이 있는 경우 라. 방사선 치료에도 불구하고 지속되는 통증이 있는 경우 마. 병적 골절의 예측을 위한 점수(Mirel‘s score) 8점 이상인 경우 (고시 제2019-315호, ’20.1.1. 시행)"
자64 사지골절 도수정복술,슬개골도수정복술 (Patella Closed Reduction) 수가산정방법,"슬개골도수정복술(Patella Closed Reduction)은 자64라 사지골절도수정복술-수근골, 족근골의 소정 점수로 준용하여 산정함.(고시 제2023-56호, ’23.3.29. 시행)"
자70 사지관절 절제술[활막절제를 포함],관절경하 활액막절제술 (Synovectomy)의수가 산정방법,"관절경하 활액막절제술(Synovectomy)은 자70 사지관절절제술 [활막절제를 포함] 해당부위별 소정 점수를 산정하고 관절경하 수술시 사용된 생리식염수는총사용량이 500㎖이상인 경우에 한하여 산정함. (고시 제2023-56호, ’23.3.29. 시행)"
자71 인공관절 치환술,자71가(1) 인공관절치환술- 전치환-고관절시 실시한 내전근 절단술 (Adductor Tenotomy) 수가 산정방법,"자71가(1) 인공관절치환술-전치환-고관절시 탈구방지를 위해 별도의 피부절개로 내전근 절단술 (Adductor Tenotomy)을 실시한 경우에는 자71가 (1)의 소정점수와 자91 건, 인대 피하단열수술 소정점수의 50%[종합병원(상급종합병원 포함)의 경우 70%]를 산정함. (고시 제2023-56호, ’23.3.29. 시행)"
자90 갱그리온 적출술,활액낭절제술 (Bursectomy)의 수기료 산정방법,"활액낭절제술(Bursectomy)은 해부학적 위치와 수술의 난이도 등을 감안하여 자90 갱그리온적출술 소정점수로 준용하여 산정함. (고시 제2007-46호, ’07.6.1. 시행)"
견봉성형술 및 회전근개 파열복원술,자93-1 견봉성형술 및 회전근개 파열복원술과 동시 시행한 원위쇄골절제술 (Distal clavicle resection) 산정방법,"자93-1 견봉성형술 및 회전근개 파열복원술과 동시 시행한 원위쇄골절제술(Distal clavicle resection)은 자51 쇄골절제술 소정점수의 50%[종합병원(상급 종합병원 포함)은 70%]로 산정하되, 원위쇄골 상부까지 완전 절제한 경우에 한하며 다음에 해당하는 경우 산정함. - 다 음 - 가. 수술 전 시행한 신체검사(압박 테스트(Compression test), Lidocaine test 등)에서 견봉-쇄골 관절의 압통 등의 소견이 확인되며, 영상검사로 단순 방사선 사진과 자기공명영상검사(MRI) 등에서 견봉-쇄골 관절의 관절염 소견이 확인되는 경우 나. 수술 전 시행한 자기공명영상검사(MRI) 또는 수술 중 관절경 소견 상 견봉-쇄골 관절 주위의 골극이나 원위 쇄골의 골극 또는 원위 쇄골에 의한 회전근개의 충돌이 확인되는 경우 (고시 제2021-323호, ’22.1.1. 시행)"
